bin,completeness,contamination,strain_heterogeneity,length,N50,drep_cluster,drep_winner,gtdb_classification,ncbi_classification
220817_LF_B8_DNA_brine_C_bin.13,86.57,0.5,0,1632368,17602,369_1,220817_LF_B8_DNA_brine_C_bin.13,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__
220817_LF_B8_DNA_brine_C_bin.15,79.13,0.51,100,1047892,30916,80_0,220817_LF_B8_DNA_brine_C_bin.15,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Pontimonas;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Cellulomonadaceae;g__;s__
220817_LF_B8_DNA_brine_C_bin.17,85.66,0,0,1192225,40940,70_1,220811_MW_F14_DNA_Brine_C_bin.4,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Pontimonas;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Pontimonas;s__
220817_LF_B8_DNA_brine_C_bin.18,6.58,0,0,1378244,4803,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220817_LF_B8_DNA_brine_C_bin.2,99.53,13.47,0,2925005,39223,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Algicoccus;s__,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__
220817_LF_B8_DNA_brine_C_bin.20,89.92,3.41,57.14,1147366,24322,66_0,220817_LF_B8_DNA_brine_C_bin.20,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__CAJXVY01;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__;g__;s__
220817_LF_B8_DNA_brine_C_bin.22,66.81,2.04,10,1834090,6934,371_0,220817_LF_B8_DNA_brine_C_bin.22,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__;s__
220817_LF_B8_DNA_brine_C_bin.23,94.94,0,0,1635274,111689,501_0,220817_LF_B8_DNA_brine_C_bin.23,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Litoricolaceae;g__HIMB30;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
220817_LF_B8_DNA_brine_C_bin.24,95.51,76.18,81.69,6237117,14821,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
220817_LF_B8_DNA_brine_C_bin.25,0,0,0,231362,13540,NA,NA,Unclassified,Unclassified
220817_LF_B8_DNA_brine_C_bin.26,33.36,0,0,329847,5408,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__CAJXVY01;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__;g__;s__
220817_LF_B8_DNA_brine_C_bin.27,25.44,0,0,482203,6659,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__CAJXVY01;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__;g__;s__
220817_LF_B8_DNA_brine_C_bin.3,96.14,0.4,0,1826888,111395,88_0,220817_LF_B8_DNA_brine_C_bin.3,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8317;f__UBA8317;g__UBA8317;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
220817_LF_B8_DNA_brine_C_bin.5,43.13,1.9,0,1460282,4226,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__CAJXMS01;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220817_LF_B8_DNA_brine_C_bin.7,4.17,0,0,387832,3955,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220817_LF_B8_DNA_brine_C_bin.8,82.48,0.55,0,1218111,11718,2_0,220817_LF_B8_DNA_brine_C_bin.8,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA8296;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220804_BK_C1_DNA_brine_C_bin.1,24.28,0,0,688269,3685,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__QS-5-70-15;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220804_BK_C1_DNA_brine_C_bin.15,53.27,1.87,0,1743431,4968,132_0,220804_BK_C1_DNA_brine_C_bin.15,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__;s__
220804_BK_C1_DNA_brine_C_bin.17,83.22,1.14,66.67,2074442,15609,127_0,220804_BK_C1_DNA_brine_C_bin.17,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halonotius;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halonotius;s__
220804_BK_C1_DNA_brine_C_bin.18,26.35,1.2,0,1058269,3498,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__;s__
220804_BK_C1_DNA_brine_C_bin.20,74.83,96.34,2.46,10687426,3978,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Salinirussus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Salinirussus;s__
220804_BK_C1_DNA_brine_C_bin.22,29.16,0,0,1533480,4064,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220804_BK_C1_DNA_brine_C_bin.3,25.23,3.74,0,753828,3536,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__;s__
220804_BK_C1_DNA_brine_C_bin.34,8.7,0,0,343659,4028,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220804_LF_C1_DNA_sed_surface_bin.14,0,0,0,261512,3144,NA,NA,Unclassified Archaea,Unclassified Archaea
220804_LF_C1_DNA_sed_surface_bin.16,0,0,0,399978,3032,NA,NA,Unclassified Archaea,Unclassified Archaea
220804_LF_C1_DNA_sed_surface_bin.5,98.49,352.73,1.99,19698749,3775,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__SW-7-71-33;g__SW-7-71-33;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220804_LF_C1_DNA_sed_surface_bin.7,43.42,0.6,100,721864,4187,NA,NA,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__JAIPDU01;s__,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfohalobiaceae;g__;s__
220804_LF_C1_DNA_sed_surface_bin.8,55.85,1.1,0,1825157,4728,339_1,220812_MW_F12_DNA_sed_A_bin.24,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__;g__;s__,d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__
220805_BK_F1_DNA_brine_bin.5,23.08,0,0,582607,3287,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__Salinisphaera sp003177035,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__Salinisphaera;s__
220805_BK_F1_DNA_brine_bin.7,36,1.09,50,796919,3803,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_BK_F1_DNA_sed_bin.1,11.6,0,0,326648,3025,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_BK_F1_DNA_sed_bin.3,15.52,0,0,443389,3153,NA,NA,d__Bacteria;p__Bacillota;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__SO9;s__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__
220805_BK_F3_DNA_brine_C_bin.11,72.13,4.03,33.33,2359608,8866,225_1,220805_BK_F3_DNA_sed_bin.18,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_BK_F3_DNA_brine_C_bin.13,0,0,0,411764,3066,NA,NA,Unclassified,Unclassified
220805_BK_F3_DNA_brine_C_bin.5,78.07,1.87,84.21,1666198,19533,223_2,220805_MW_S1_DNA_Brine_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_BK_F3_DNA_brine_C_bin.7,0,0,0,378802,8070,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_BK_F3_DNA_brine_C_bin.8,25.47,0,0,892495,4166,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_BK_F3_DNA_sed_bin.10,40.16,0,0,878103,4679,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__;s__,d__Bacteria;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__;s__
220805_BK_F3_DNA_sed_bin.12,84.07,3.45,7.14,2052972,23224,314_0,220805_BK_F3_DNA_sed_bin.12,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SLND01;f__SLND01;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
220805_BK_F3_DNA_sed_bin.25,14.47,0,0,311746,3449,NA,NA,d__Bacteria;p__Bacillota;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__;s__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__;s__
220805_BK_F3_DNA_sed_bin.27,78.35,1.66,75,2230514,6560,481_0,220805_BK_F3_DNA_sed_bin.27,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidocella;s__,d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__
220805_BK_F3_DNA_sed_bin.28,94.9,0.76,0,2790829,21764,388_1,220805_BK_F3_DNA_sed_bin.28,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Oleiagrimonas;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Oleiagrimonas;s__
220805_BK_F3_DNA_sed_bin.31,5.1,0,0,843041,4877,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_BK_F3_DNA_sed_bin.33,0,0,0,1113832,21171,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_BK_F3_DNA_sed_bin.4,18.04,0.35,100,614827,3839,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__Salinisphaera;s__
220805_BK_F3_DNA_sed_bin.9,53.45,0,0,2493402,39483,303_0,220805_BK_F3_DNA_sed_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__;g__;s__
220805_MW_S1_DNA_Brine_bin.1,18.32,0,0,470229,2664,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_MW_S1_DNA_Brine_bin.15,79.01,5.39,62.5,1672035,7090,224_1,220806_MW_S6_DNA_sed_bin.16,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_MW_S1_DNA_Brine_bin.3,94.45,0.8,0,1694992,30322,201_1,220808_BK_F14_DNA_brine_C_bin.30,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__QS-5-70-15;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220805_MW_S1_DNA_T4_Sed_A_bin.5,8.88,1.87,0,339321,2796,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_T4_Sed_A_bin.7,4.17,0,0,434362,2948,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_T4_Sed_A_bin.8,80.01,0.96,25,2349116,6030,179_1,220806_MW_S6_DNA_sed_bin.5,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_MW_S1_DNA_T4_Sed_B_bin.5,26.33,0.76,0,523735,3239,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Salinirubrum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Salinirubrum;s__
220805_MW_S1_DNA_T4_Sed_B_bin.7,28.42,0,0,988848,4223,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S1_DNA_T4_Sed_B_bin.8,12.5,0,0,1316875,4319,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_T4_Sed_C_bin.7,0,0,0,432454,3592,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_sed_A_bin.13,0,0,0,402587,3439,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_sed_A_bin.5,51.14,0.64,0,939372,4341,145_1,220808_BK_F12_DNA_sed_bin.12,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__
220805_MW_S1_DNA_sed_A_bin.7,83.11,2.28,60,1802105,9174,223_2,220805_MW_S1_DNA_Brine_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_MW_S1_DNA_sed_A_bin.8,19.16,0,0,979314,4072,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S1_DNA_sed_B_bin.5,70.85,6.03,35.29,2264398,6342,179_1,220806_MW_S6_DNA_sed_bin.5,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_MW_S1_DNA_sed_B_bin.7,75.35,1.66,16.67,1763255,7296,223_2,220805_MW_S1_DNA_Brine_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_MW_S1_DNA_sed_C_bin.5,44.89,2.05,42.86,1619431,4056,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__Salinisphaera sp003177035,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__Salinisphaera;s__
220805_MW_S1_DNA_sed_D_bin.5,86.98,92.63,17.88,6223057,4422,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_MW_S2_DNA_Brine_B_bin.15,41.28,13.08,6.25,1651345,3198,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halapricum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halapricum;s__
220805_MW_S2_DNA_Brine_B_bin.17,14.95,1.87,0,796083,3772,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S2_DNA_Brine_B_bin.2,0,0,0,480719,4167,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S3_DNA_Brine_bin.14,1.19,0,0,318594,30324,NA,NA,Unclassified,Unclassified
220805_MW_S3_DNA_Brine_bin.16,61.72,1.45,87.5,1028937,5539,364_0,220805_MW_S3_DNA_Brine_bin.16,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA6929;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
220805_MW_S3_DNA_Brine_bin.19,21.55,0,0,223322,3087,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA1280;f__;g__;s__,d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__
220805_MW_S3_DNA_Brine_bin.21,10.25,1.72,0,1108060,2584,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S3_DNA_Brine_bin.23,9.48,0,0,448705,3399,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S3_DNA_Brine_bin.5,19.77,0.82,0,1060632,3381,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
220805_MW_S3_DNA_Brine_bin.7,32.88,0,0,1545655,3527,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220805_MW_S3_DNA_Brine_bin.8,33.04,9.48,14.29,2013993,3262,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Maricaulales;f__Maricaulaceae;g__Oceanicaulis;s__
220805_MW_S4_DNA_Brine_bin.10,94.37,3.07,52.63,3554885,19859,458_1,220805_MW_S4_DNA_Brine_bin.10,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Marivita;s__
220805_MW_S4_DNA_Brine_bin.12,75.78,1.26,33.33,2472651,6203,423_0,220805_MW_S4_DNA_Brine_bin.12,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CAJXSO01;s__CAJXSO01 sp009924775,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
220805_MW_S4_DNA_Brine_bin.2,19.91,0,0,850306,3395,NA,NA,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__CTSoil-045;s__,d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__
220805_MW_S4_DNA_Brine_bin.25,92.3,0.66,33.33,2864481,14934,472_1,220811_JW_F18_DNA_Brine_B_bin.7,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAIVHI01;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Loktanella;s__
220805_MW_S4_DNA_sed_bin.11,99.15,3.97,0,5420520,20797,350_0,220805_MW_S4_DNA_sed_bin.11,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__JAHEMB01;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__;s__
220805_MW_S4_DNA_sed_bin.13,96.4,5.14,0,2966287,21420,355_0,220805_MW_S4_DNA_sed_bin.13,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__,d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__
220805_MW_S4_DNA_sed_bin.4,36.58,0.13,0,1971538,4022,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__WNWL01;s__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Oceanobacillus;s__
220805_MW_S4_DNA_sed_bin.6,46.57,1.87,100,1349403,3437,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S4_DNA_sed_bin.9,36.6,6.99,0,2349500,1927,NA,NA,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__,d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__
220806_BK_F5_DNA_biofilm_bin.14,14.95,0,0,391769,3460,NA,NA,Unclassified Archaea,Unclassified Archaea
220806_BK_F5_DNA_biofilm_bin.16,4.17,0,0,510977,3879,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__Salinibacter ruber,d__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__Salinibacter;s__Salinibacter ruber
220806_BK_F5_DNA_biofilm_bin.19,46.26,0,0,1108002,5149,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halovenus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220806_BK_F5_DNA_biofilm_bin.21,59.35,0,0,1685370,5878,162_1,220815_LF_B1_DNA_brine_A_bin.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp000496175,d__Archaea;p__;c__;o__;f__;g__;s__
220806_BK_F5_DNA_biofilm_bin.23,35.36,0.93,100,1443314,4068,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloglomus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloglomus;s__
220806_BK_F5_DNA_biofilm_bin.4,61.15,0.51,0,1309826,4894,168_0,220806_BK_F5_DNA_biofilm_bin.4,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__A07HB70;s__A07HB70 sp000496195,d__Archaea;p__;c__;o__;f__;g__;s__
220806_BK_F5_DNA_biofilm_bin.6,0,0,0,410722,3529,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F5_DNA_biofilm_bin.9,27.43,0,0,706017,10054,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__Salinibacter;s__
220806_BK_F5_DNA_brine_A_bin.15,93.11,0.39,0,2328886,10005,111_1,220806_BK_F6D_DNA_brine_bin.9,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloquadratum;s__Haloquadratum walsbyi_B,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloquadratum;s__Haloquadratum walsbyi
220806_BK_F5_DNA_brine_A_bin.17,86.21,0.57,50,2857587,10123,125_1,220807_MW_S7_DNA_Porewater_2_A_bin.17,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__J07HR59;s__,d__Archaea;p__;c__;o__;f__;g__;s__
